Rank,Model,Powertrain Type,New Retail Registration
1,Tesla Model 3,Electric,33005
2,Ford Fusion,Hybrid,6246
3,Toyota Prius,Hybrid,5619
4,Toyota RAV4,Hybrid,5019
5,Toyota Prius,Plug in Hybrid,4681
6,Chevrolet Bolt,Electric,4482
7,Jeep Wrangler,Hybrid,4459
8,Honda Clarity,Plug in Hybrid,3976
9,Toyota Camry,Hybrid,3840
10,Tesla Model X,Electric,3690
11,Honda Insight,Hybrid,3456
12,Tesla Model S,Electric,3390
13,Honda Accord,Hybrid,2786
14,Lexus RX,Hybrid,2525
15,BMW 5-Series,Plug in Hybrid,2354
16,Toyota Corolla,Hybrid,2251
17,Kia Niro,Hybrid,2182
18,Nissan Leaf,Electric,2034
19,Lexus NX,Hybrid,1766
20,Ford Fusion,Plug in Hybrid,1695
